iso_time,epoch_seconds,sample_index,q1_raw,q1_voltage_mv,q1_notch,q1_notch_mv
2026-09-09T14:27:58.573,1788944278.5730,4299,0,0.0,0,0.0
2026-09-09T14:27:58.573,1788944278.5730,4300,0,0.0,0,0.0
2026-09-09T14:27:58.588,1788944278.5883,4301,0,0.0,0,0.0
2026-09-09T14:27:58.588,1788944278.5883,4302,0,0.0,0,0.0
2026-09-09T14:27:58.604,1788944278.6043,4303,0,0.0,0,0.0
2026-09-09T14:27:58.620,1788944278.6201,4304,0,0.0,0,0.0
2026-09-09T14:27:58.620,1788944278.6201,4305,0,0.0,0,0.0
2026-09-09T14:27:58.637,1788944278.6378,4306,0,0.0,0,0.0
2026-09-09T14:27:58.637,1788944278.6378,4307,0,0.0,0,0.0
2026-09-09T14:27:58.651,1788944278.6518,4308,0,0.0,0,0.0
2026-09-09T14:27:58.667,1788944278.6679,4309,0,0.0,0,0.0
2026-09-09T14:27:58.683,1788944278.6836,4310,0,0.0,0,0.0
2026-09-09T14:27:58.683,1788944278.6836,4311,0,0.0,0,0.0
2026-09-09T14:27:58.699,1788944278.6993,4312,0,0.0,0,0.0
2026-09-09T14:27:58.699,1788944278.6993,4313,0,0.0,0,0.0
2026-09-09T14:27:58.715,1788944278.7154,4314,0,0.0,0,0.0
2026-09-09T14:27:58.732,1788944278.7323,4315,0,0.0,0,0.0
2026-09-09T14:27:58.738,1788944278.7381,4316,0,0.0,0,0.0
2026-09-09T14:27:58.747,1788944278.7475,4317,0,0.0,0,0.0
2026-09-09T14:27:58.747,1788944278.7475,4318,0,0.0,0,0.0
2026-09-09T14:27:58.763,1788944278.7636,4319,0,0.0,0,0.0
2026-09-09T14:27:58.781,1788944278.7815,4320,0,0.0,0,0.0
2026-09-09T14:27:58.795,1788944278.7956,4321,0,0.0,0,0.0
2026-09-09T14:27:58.795,1788944278.7956,4322,0,0.0,0,0.0
2026-09-09T14:27:58.795,1788944278.7956,4323,0,0.0,0,0.0
2026-09-09T14:27:58.811,1788944278.8113,4324,0,0.0,0,0.0
2026-09-09T14:27:58.827,1788944278.8273,4325,0,0.0,0,0.0
2026-09-09T14:27:58.843,1788944278.8431,4326,0,0.0,0,0.0
2026-09-09T14:27:58.843,1788944278.8431,4327,0,0.0,0,0.0
2026-09-09T14:27:58.859,1788944278.8592,4328,0,0.0,0,0.0
2026-09-09T14:27:58.859,1788944278.8592,4329,0,0.0,0,0.0
2026-09-09T14:27:58.875,1788944278.8751,4330,0,0.0,0,0.0
2026-09-09T14:27:58.891,1788944278.8912,4331,0,0.0,0,0.0
2026-09-09T14:27:58.891,1788944278.8912,4332,0,0.0,0,0.0
2026-09-09T14:27:58.907,1788944278.9072,4333,0,0.0,0,0.0
2026-09-09T14:27:58.923,1788944278.9232,4334,0,0.0,0,0.0
2026-09-09T14:27:58.923,1788944278.9232,4335,0,0.0,0,0.0
2026-09-09T14:27:58.939,1788944278.9392,4336,0,0.0,0,0.0
2026-09-09T14:27:58.939,1788944278.9392,4337,0,0.0,0,0.0
2026-09-09T14:27:58.955,1788944278.9551,4338,0,0.0,0,0.0
2026-09-09T14:27:58.971,1788944278.9710,4339,0,0.0,0,0.0
2026-09-09T14:27:58.971,1788944278.9710,4340,0,0.0,0,0.0
2026-09-09T14:27:58.986,1788944278.9868,4341,0,0.0,0,0.0
2026-09-09T14:27:59.002,1788944279.0026,4342,0,0.0,0,0.0
2026-09-09T14:27:59.002,1788944279.0026,4343,0,0.0,0,0.0
2026-09-09T14:27:59.018,1788944279.0186,4344,0,0.0,0,0.0
2026-09-09T14:27:59.018,1788944279.0186,4345,0,0.0,0,0.0
2026-09-09T14:27:59.038,1788944279.0382,4346,0,0.0,0,0.0
2026-09-09T14:27:59.050,1788944279.0507,4347,0,0.0,0,0.0
2026-09-09T14:27:59.050,1788944279.0507,4348,0,0.0,0,0.0
2026-09-09T14:27:59.066,1788944279.0667,4349,0,0.0,0,0.0
2026-09-09T14:27:59.082,1788944279.0826,4350,0,0.0,0,0.0
2026-09-09T14:27:59.082,1788944279.0826,4351,0,0.0,0,0.0
2026-09-09T14:27:59.098,1788944279.0985,4352,0,0.0,0,0.0
2026-09-09T14:27:59.114,1788944279.1146,4353,0,0.0,0,0.0
2026-09-09T14:27:59.114,1788944279.1146,4354,0,0.0,0,0.0
2026-09-09T14:27:59.130,1788944279.1306,4355,0,0.0,0,0.0
2026-09-09T14:27:59.138,1788944279.1383,4356,0,0.0,0,0.0
